FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200101;0000;4;;;
200102;0000;4;;;
200103;0000;2;;;
200104;0000;3;;;
200105;0000;4;;;
200106;0000;3;;;
200107;0000;2;;;
200108;0000;5;;;
200109;0000;6;;;
200110;0000;5;;;
200111;0000;3;;;
200112;0000;3;;;
200113;0000;2;;;
200114;0000;4;;;
200115;0000;6;;;
200116;0000;6;;;
200117;0000;2;;;
200118;0000;4;;;
200119;0000;6;;;
200120;0000;4;;;
200121;0000;3;;;
200122;0000;3;;;
200123;0000;2;;;
200124;0000;2;;;
200125;0000;3;;;
200126;0000;2;;;
200127;0000;4;;;
200128;0000;5;;;
200129;0000;6;;;
200130;0000;4;;;
200131;0000;2;;;
200201;0000;2;;;
200202;0000;4;;;
200203;0000;6;;;
200204;0000;5;;;
200205;0000;5;;;
200206;0000;7;;;
200207;0000;5;;;
200208;0000;5;;;
200209;0000;5;;;
200210;0000;5;;;
200211;0000;4;;;
200212;0000;5;;;
200213;0000;6;;;
200214;0000;4;;;
200215;0000;3;;;
200216;0000;5;;;
200217;0000;6;;;
200218;0000;4;;;
200219;0000;8;;;
200220;0000;8;;;
200221;0000;9;;;
200222;0000;12;;;
200223;0000;8;;;
200224;0000;5;;;
200225;0000;5;;;
200226;0000;4;;;
200227;0000;3;;;
200228;0000;3;;;
200229;0000;3;;;
200301;0000;4;;;
200302;0000;4;;;
200303;0000;6;;;
200304;0000;5;;;
200305;0000;3;;;
200306;0000;4;;;
200307;0000;7;;;
200308;0000;5;;;
200309;0000;5;;;
200310;0000;6;;;
200311;0000;2;;;
200312;0000;4;;;
200313;0000;6;;;
200314;0000;6;;;
200315;0000;5;;;
200316;0000;7;;;
200317;0000;5;;;
200318;0000;6;;;
200319;0000;9;;;
200320;0000;2;;;
200321;0000;6;;;
200322;0000;10;;;
200323;0000;13;;;
200324;0000;5;;;
200325;0000;4;;;
200326;0000;6;;;
200327;0000;6;;;
200328;0000;14;;;
200329;0000;13;;;
200330;0000;8;;;
200331;0000;13;;;
200401;0000;17;;;
200402;0000;7;;;
200403;0000;5;;;
200404;0000;15;;;
200405;0000;32;;;
200406;0000;16;;;
200407;0000;12;;;
200408;0000;35;;;
200409;0000;45;;;
200410;0000;31;;;
200411;0000;34;;;
200412;0000;60;;;
200413;0000;57;;;
200414;0000;63;;;
200415;0000;59;;;
200416;0000;35;;;
200417;0000;24;;;
200418;0000;16;;;
200419;0000;32;;;
200420;0000;33;;;
200421;0000;77;;;
200422;0000;84;;;
200423;0000;78;;;
200424;0000;27;;;
200425;0000;37;;;
200426;0000;49;;;
200427;0000;24;;;
200428;0000;66;;;
200429;0000;46;;;
200430;0000;25;;;
200501;0000;49;;;
200502;0000;25;;;
200503;0000;18;;;
200504;0000;67;;;
200505;0000;69;;;
200506;0000;44;;;
200507;0000;83;;;
200508;0000;40;;;
200509;0000;13;;;
200510;0000;36;;;
200511;0000;89;;;
200512;0000;52;;;
200513;0000;28;;;
200514;0000;19;;;
200515;0000;11;;;
200516;0000;42;;;
200517;0000;55;;;
200518;0000;39;;;
200519;0000;39;;;
200520;0000;44;;;
200521;0000;53;;;
200522;0000;116;;;
200523;0000;63;;;
200524;0000;64;;;
200525;0000;43;;;
200526;0000;44;;;
200527;0000;102;;;
200528;0000;125;;;
200529;0000;36;;;
200530;0000;107;;;
200531;0000;62;;;
200601;0000;86;;;
200602;0000;26;;;
200603;0000;79;;;
200604;0000;49;;;
200605;0000;24;;;
200606;0000;87;;;
200607;0000;38;;;
200608;0000;40;;;
200609;0000;12;;;
200610;0000;8;;;
200611;0000;18;;;
200612;0000;86;;;
200613;0000;120;;;
200614;0000;46;;;
200615;0000;51;;;
200616;0000;51;;;
200617;0000;23;;;
200618;0000;16;;;
200619;0000;19;;;
200620;0000;62;;;
200621;0000;57;;;
200622;0000;25;;;
200623;0000;37;;;
200624;0000;64;;;
200625;0000;56;;;
200626;0000;35;;;
200627;0000;45;;;
200628;0000;36;;;
200629;0000;;;46;
200630;0000;28;;;
200701;0000;25;;;
200702;0000;36;;;
200703;0000;50;;;
200704;0000;71;;;
200705;0000;62;;;
200706;0000;36;;;
200707;0000;49;;;
200708;0000;71;;;
200709;0000;11;;;
200710;0000;35;;;
200711;0000;48;;;
200712;0000;71;;;
200713;0000;74;;;
200714;0000;82;;;
200715;0000;111;;;
200716;0000;54;;;
200717;0000;15;;;
200718;0000;13;;;
200719;0000;55;;;
200720;0000;181;;;
200721;0000;156;;;
200722;0000;94;;;
200723;0000;76;;;
200724;0000;62;;;
200725;0000;21;;;
200726;0000;86;;;
200727;0000;87;;;
200728;0000;94;;;
200729;0000;87;;;
200730;0000;39;;;
200731;0000;90;;;
200801;0000;41;;;
200802;0000;65;;;
200803;0000;131;;;
200804;0000;84;;;
200805;0000;66;;;
200806;0000;82;;;
200807;0000;81;;;
200808;0000;27;;;
200809;0000;25;;;
200810;0000;69;;;
200811;0000;97;;;
200812;0000;56;;;
200813;0000;36;;;
200814;0000;61;;;
200815;0000;98;;;
200816;0000;42;;;
