FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200101;0000;14;;;
200102;0000;12;;;
200103;0000;;;22;
200104;0000;;;2;
200105;0000;;;3;
200106;0000;;;4;
200107;0000;5;;;
200108;0000;3;;;
200109;0000;5;;;
200110;0000;4;;;
200111;0000;12;;;
200112;0000;9;;;
200113;0000;5;;;
200114;0000;5;;;
200115;0000;6;;;
200116;0000;11;;;
200117;0000;20;;;
200118;0000;18;;;
200119;0000;15;;;
200120;0000;16;;;
200121;0000;12;;;
200122;0000;10;;;
200123;0000;7;;;
200124;0000;13;;;
200125;0000;29;;;
200126;0000;30;;;
200127;0000;16;;;
200128;0000;17;;;
200129;0000;13;;;
200130;0000;20;;;
200131;0000;16;;;
200201;0000;9;;;
200202;0000;6;;;
200203;0000;6;;;
200204;0000;5;;;
200205;0000;6;;;
200206;0000;8;;;
200207;0000;8;;;
200208;0000;12;;;
200209;0000;12;;;
200210;0000;12;;;
200211;0000;14;;;
200212;0000;5;;;
200213;0000;10;;;
200214;0000;14;;;
200215;0000;10;;;
200216;0000;4;;;
200217;0000;5;;;
200218;0000;6;;;
200219;0000;12;;;
200220;0000;20;;;
200221;0000;12;;;
200222;0000;12;;;
200223;0000;13;;;
200224;0000;8;;;
200225;0000;13;;;
200226;0000;14;;;
200227;0000;8;;;
200228;0000;14;;;
200229;0000;11;;;
200301;0000;6;;;
200302;0000;12;;;
200303;0000;12;;;
200304;0000;8;;;
200305;0000;17;;;
200306;0000;16;;;
200307;0000;10;;;
200308;0000;14;;;
200309;0000;12;;;
200310;0000;8;;;
200311;0000;7;;;
200312;0000;3;;;
200313;0000;3;;;
200314;0000;7;;;
200315;0000;8;;;
200316;0000;10;;;
200317;0000;8;;;
200318;0000;10;;;
200319;0000;11;;;
200320;0000;9;;;
200321;0000;6;;;
200322;0000;4;;;
200323;0000;3;;;
200324;0000;6;;;
200325;0000;10;;;
200326;0000;7;;;
200327;0000;10;;;
200328;0000;10;;;
200329;0000;8;;;
200330;0000;9;;;
200331;0000;10;;;
200401;0000;8;;;
200402;0000;10;;;
200403;0000;12;;;
200404;0000;9;;;
200405;0000;8;;;
200406;0000;21;;;
200407;0000;21;;;
200408;0000;18;;;
200409;0000;28;;;
200410;0000;13;;;
200411;0000;8;;;
200412;0000;13;;;
200413;0000;18;;;
200414;0000;20;;;
200415;0000;11;;;
200416;0000;6;;;
200417;0000;8;;;
200418;0000;7;;;
200419;0000;13;;;
200420;0000;11;;;
200421;0000;15;;;
200422;0000;15;;;
200423;0000;9;;;
200424;0000;4;;;
200425;0000;6;;;
200426;0000;6;;;
200427;0000;7;;;
200428;0000;14;;;
200429;0000;13;;;
200430;0000;24;;;
200501;0000;17;;;
200502;0000;21;;;
200503;0000;26;;;
200504;0000;12;;;
200505;0000;17;;;
200506;0000;26;;;
200507;0000;31;;;
200508;0000;24;;;
200509;0000;9;;;
200510;0000;17;;;
200511;0000;16;;;
200512;0000;24;;;
200513;0000;21;;;
200514;0000;18;;;
200515;0000;9;;;
200516;0000;15;;;
200517;0000;20;;;
200518;0000;9;;;
200519;0000;24;;;
200520;0000;35;;;
200521;0000;33;;;
200522;0000;30;;;
200523;0000;44;;;
200524;0000;48;;;
200525;0000;32;;;
200526;0000;21;;;
200527;0000;30;;;
200528;0000;35;;;
200529;0000;24;;;
200530;0000;20;;;
200531;0000;32;;;
200601;0000;53;;;
200602;0000;31;;;
200603;0000;32;;;
200604;0000;50;;;
200605;0000;43;;;
200606;0000;32;;;
200607;0000;25;;;
200608;0000;34;;;
200609;0000;18;;;
200610;0000;7;;;
200611;0000;;;7;
200612;0000;29;;;
200613;0000;36;;;
200614;0000;47;;;
200615;0000;11;;;
200616;0000;8;;;
200617;0000;13;;;
200618;0000;4;;;
200619;0000;9;;;
200620;0000;21;;;
200621;0000;19;;;
200622;0000;13;;;
200623;0000;11;;;
200624;0000;15;;;
200625;0000;27;;;
200626;0000;20;;;
200627;0000;13;;;
200628;0000;5;;;
200629;0000;6;;;
200630;0000;6;;;
200701;0000;28;;;
200702;0000;40;;;
200703;0000;23;;;
200704;0000;22;;;
200705;0000;27;;;
200706;0000;34;;;
200707;0000;16;;;
200708;0000;17;;;
200709;0000;6;;;
200710;0000;28;;;
200711;0000;16;;;
200712;0000;7;;;
200713;0000;18;;;
200714;0000;34;;;
200715;0000;25;;;
200716;0000;10;;;
200717;0000;5;;;
200718;0000;6;;;
200719;0000;7;;;
200720;0000;9;;;
200721;0000;12;;;
200722;0000;18;;;
200723;0000;35;;;
200724;0000;35;;;
200725;0000;9;;;
200726;0000;20;;;
200727;0000;28;;;
200728;0000;26;;;
200729;0000;36;;;
200730;0000;22;;;
200731;0000;38;;;
200801;0000;13;;;
200802;0000;15;;;
200803;0000;5;;;
200804;0000;7;;;
200805;0000;17;;;
200806;0000;20;;;
200807;0000;37;;;
200808;0000;38;;;
200809;0000;19;;;
200810;0000;23;;;
200811;0000;24;;;
200812;0000;22;;;
200813;0000;20;;;
200814;0000;27;;;
200815;0000;21;;;
200816;0000;27;;;
200817;0000;17;;;
200818;0000;25;;;
200819;0000;14;;;
200820;0000;24;;;
