FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
200101;0000;7;;;
200102;0000;6;;;
200103;0000;4;;;
200104;0000;5;;;
200105;0000;4;;;
200106;0000;4;;;
200107;0000;5;;;
200108;0000;5;;;
200109;0000;4;;;
200110;0000;3;;;
200111;0000;3;;;
200112;0000;4;;;
200113;0000;4;;;
200114;0000;4;;;
200115;0000;7;;;
200116;0000;6;;;
200117;0000;7;;;
200118;0000;7;;;
200119;0000;8;;;
200120;0000;7;;;
200121;0000;;;4;
200122;0000;;;2;
200123;0000;;;3;
200124;0000;;;6;
200125;0000;5;;;
200126;0000;4;;;
200127;0000;6;;;
200128;0000;4;;;
200129;0000;6;;;
200130;0000;5;;;
200131;0000;3;;;
200201;0000;4;;;
200202;0000;6;;;
200203;0000;6;;;
200204;0000;3;;;
200205;0000;5;;;
200206;0000;4;;;
200207;0000;5;;;
200208;0000;6;;;
200209;0000;6;;;
200210;0000;5;;;
200211;0000;6;;;
200212;0000;4;;;
200213;0000;4;;;
200214;0000;;;;
200215;0000;;;;
200216;0000;3;;;
200217;0000;4;;;
200218;0000;4;;;
200219;0000;5;;;
200220;0000;6;;;
200221;0000;12;;;
200222;0000;26;;;
200223;0000;7;;;
200224;0000;4;;;
200225;0000;5;;;
200226;0000;8;;;
200227;0000;7;;;
200228;0000;6;;;
200229;0000;7;;;
200301;0000;8;;;
200302;0000;5;;;
200303;0000;6;;;
200304;0000;4;;;
200305;0000;3;;;
200306;0000;6;;;
200307;0000;4;;;
200308;0000;5;;;
200309;0000;5;;;
200310;0000;5;;;
200311;0000;5;;;
200312;0000;5;;;
200313;0000;;;19;
200314;0000;;;11;
200315;0000;6;;;
200316;0000;6;;;
200317;0000;6;;;
200318;0000;6;;;
200319;0000;8;;;
200320;0000;9;;;
200321;0000;8;;;
200322;0000;16;;;
200323;0000;26;;;
200324;0000;7;;;
200325;0000;5;;;
200326;0000;8;;;
200327;0000;5;;;
200328;0000;13;;;
200329;0000;14;;;
200330;0000;8;;;
200331;0000;10;;;
200401;0000;10;;;
200402;0000;9;;;
200403;0000;7;;;
200404;0000;8;;;
200405;0000;17;;;
200406;0000;18;;;
200407;0000;16;;;
200408;0000;25;;;
200409;0000;19;;;
200410;0000;19;;;
200411;0000;9;;;
200412;0000;30;;;
200413;0000;48;;;
200414;0000;55;;;
200415;0000;76;;;
200416;0000;47;;;
200417;0000;25;;;
200418;0000;10;;;
200419;0000;19;;;
200420;0000;34;;;
200421;0000;44;;;
200422;0000;71;;;
200423;0000;44;;;
200424;0000;7;;;
200425;0000;8;;;
200426;0000;12;;;
200427;0000;13;;;
200428;0000;49;;;
200429;0000;49;;;
200430;0000;62;;;
200501;0000;66;;;
200502;0000;34;;;
200503;0000;24;;;
200504;0000;36;;;
200505;0000;55;;;
200506;0000;47;;;
200507;0000;72;;;
200508;0000;44;;;
200509;0000;11;;;
200510;0000;28;;;
200511;0000;56;;;
200512;0000;66;;;
200513;0000;62;;;
200514;0000;45;;;
200515;0000;30;;;
200516;0000;18;;;
200517;0000;48;;;
200518;0000;28;;;
200519;0000;38;;;
200520;0000;68;;;
200521;0000;72;;;
200522;0000;85;;;
200523;0000;99;;;
200524;0000;44;;;
200525;0000;49;;;
200526;0000;46;;;
200527;0000;35;;;
200528;0000;47;;;
200529;0000;80;;;
200530;0000;135;;;
200531;0000;106;;;
200601;0000;108;;;
200602;0000;101;;;
200603;0000;111;;;
200604;0000;96;;;
200605;0000;74;;;
200606;0000;52;;;
200607;0000;41;;;
200608;0000;38;;;
200609;0000;22;;;
200610;0000;11;;;
200611;0000;15;;;
200612;0000;43;;;
200613;0000;64;;;
200614;0000;105;;;
200615;0000;30;;;
200616;0000;27;;;
200617;0000;38;;;
200618;0000;10;;;
200619;0000;20;;;
200620;0000;18;;;
200621;0000;30;;;
200622;0000;34;;;
200623;0000;30;;;
200624;0000;28;;;
200625;0000;49;;;
200626;0000;22;;;
200627;0000;35;;;
200628;0000;11;;;
200629;0000;42;;;
200630;0000;12;;;
200701;0000;38;;;
200702;0000;63;;;
200703;0000;32;;;
200704;0000;33;;;
200705;0000;69;;;
200706;0000;99;;;
200707;0000;32;;;
200708;0000;35;;;
200709;0000;11;;;
200710;0000;22;;;
200711;0000;15;;;
200712;0000;26;;;
200713;0000;81;;;
200714;0000;91;;;
200715;0000;137;;;
200716;0000;85;;;
200717;0000;14;;;
200718;0000;17;;;
200719;0000;17;;;
200720;0000;19;;;
200721;0000;18;;;
200722;0000;55;;;
200723;0000;58;;;
200724;0000;34;;;
200725;0000;7;;;
200726;0000;12;;;
200727;0000;69;;;
200728;0000;92;;;
200729;0000;91;;;
200730;0000;45;;;
200731;0000;29;;;
200801;0000;26;;;
200802;0000;58;;;
200803;0000;42;;;
